"VAR2","VAR3","REGION","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Wood+Bark Weight","ST_WDBK_DW_MER","Southern_States",8495,10.0974102413184,5,42,121.049600200072,17.1535053028219,-4.37082643454337,2.59048442678738,61.3085696087208,11.9583733320035,7.38286898480336,121.121364484752,0.979150354614947
"Total Stem Bark Weight","ST_BK_DW_TOT","Southern_States",11605,8.05401981904352,1,42,24.0584680488688,34.9819271830198,0.15299935665979,7.12764797335471,11.9551992349498,25.1494829480286,1.83806563733964,24.0579179846458,0.937117520067177
"Total Stem Wood Weight","ST_WD_DW_TOT","Southern_States",14314,7.73990498812352,1,42,91.1888536656721,18.1175695972661,-2.60337416194525,0.626147962529404,38.1549049084413,12.7605300936198,5.68005840294262,91.2228242362189,0.980450883427858
"Sawlog Bark Volume","ST_BK_CV_SAW","Southern_States",36139,14.2590027394228,9,48.9,2.12187484595981,54.0481172013015,-0.0886250553477882,10.3000990208337,1.33087075058939,29.3188690896554,0.118990394256731,2.123695523852,0.806927331219528
"Sawlog Wood Volume","ST_WD_CV_SAW","Southern_States",36139,14.2590027394228,9,48.9,5.55006436463723,17.7662786653789,-0.898071756479226,-1.42626959659671,3.56382591697365,12.9139847982346,0.315302206651521,5.62217884610484,0.959077186109385
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","Southern_States",36496,14.2796388645331,9,48.9,5.98891444701581,16.4782440002715,-1.04854673097967,-1.70313988170337,3.90213960409555,11.7908103472723,0.340869091232923,6.07993122764156,0.963997365149938
"Top and Branches","BRT_WDBK_DW_MER","Southern_States",4786,10.2704554951943,5,42,166.068472756793,42.8113322466887,-0.760279230878511,12.9874013390257,61.2906980875778,30.2045421892465,7.94217282847312,166.052862941313,0.889391482747972
"Total Tree Wood+Bark+Foliage","TT_DW_ADJ","Northeastern_States",422,7.80071090047393,1,32.2,301.316593684321,20.4087793647779,-43.9854500800261,-1.59937036510723,102.405761273335,15.3858876580575,16.7859986502755,304.156642643734,0.934283050858249
"Foliage","FOL_DW","Northeastern_States",573,7.04624781849913,1,32.2,13.7909442580847,233.726109445638,-0.967257461438808,45.778662322917,6.09163446419651,75.5962945275718,1.13936744853193,13.8128132744583,0.835355276168494
"Merch Stem Bark Volume","ST_BK_CV_MER","Canada",23259,9.55192828582484,5,35,0.814320476203474,31.8890835698784,0.0376209734741409,10.2158078538977,0.399779502558313,23.0846495523261,0.0528487912927343,0.815171555838558,0.917111777914951
"Merch Stem Wood Volume","ST_WD_CV_MER","Canada",23259,9.55192828582484,5,35,2.53989825873999,13.1318756850218,-0.048456044642147,-0.146532168214868,1.28575741250353,9.1494170877033,0.165663853543883,2.54030584663242,0.981762549153756
